doc_label,doc_content
doyle-0-0,chapter
doyle-0-1,weather door smoking room left open north atlantic fog big liner rolled lifted whistling warn fishing fleet
doyle-0-2,cheyne boy 's biggest nuisance aboard man frieze overcoat shutting door bang
doyle-0-2,n't wanted
doyle-0-2,'s fresh
doyle-0-3,white haired german reached sandwich grunted bites know der breed
doyle-0-3,ameriga full dot kind
doyle-0-3,dell imbort ropes ends free dariff
doyle-0-4,pshaw
doyle-0-4,n't real harm
doyle-0-4,'s pitied anything man new york drawled lay full length along cushions wet skylight
doyle-0-4,'ve dragged around hotel hotel ever since kid
doyle-0-4,talking mother morning
doyle-0-4,'s lovely lady n't pretend manage
doyle-0-4,'s going europe finish education
doyle-0-5,education n't begun yet
doyle-0-5,philadelphian curled corner
doyle-0-5,boy gets two hundred month pocket money told
doyle-0-5,n't sixteen either
doyle-0-6,railroads father aind't
doyle-0-6,german
doyle-0-7,yep
doyle-0-7,mines lumber shipping
doyle-0-7,built one place san diego old man another los angeles owns half dozen railroads half lumber pacific slope lets wife spend money philadelphian went lazily
doyle-0-7,west n't suit says
doyle-0-7,tracks around boy nerves trying find 'll amuse guess
doyle-0-7,florida adirondacks lakewood hot springs new york round
doyle-0-7,n't much second hand hotel clerk
doyle-0-7,'s finished europe 'll holy terror
doyle-0-8,'s matter old man attending personally
doyle-0-8,voice frieze ulster
doyle-0-9,old man 's piling rocks
doyle-0-9,'do n't want disturbed guess
doyle-0-9,'ll find error years
doyle-0-9,'pity 's heap good boy could get
doyle-0-10,mit rope 's end mit rope 's end
doyle-0-10,growled german
doyle-0-11,door banged slight slim built boy perhaps fifteen years old half smoked cigarette hanging one corner mouth leaned high footway
doyle-0-11,pasty yellow complexion show well person years look mixture irresolution bravado cheap smartness
doyle-0-11,dressed cherry coloured blazer knickerbockers red stockings bicycle shoes red flannel cap back head
doyle-0-11,whistling teeth eyed company loud high voice say 's thick outside
doyle-0-11,hear fish boats squawking around us
doyle-0-11,say would n't great ran one
doyle-0-12,shut door harvey new yorker
doyle-0-12,shut door stay outside
doyle-0-12,'re wanted
doyle-0-13,'ll stop
doyle-0-13,answered deliberately
doyle-0-13,pay passage mister martin
doyle-0-13,'guess 've good right next man
doyle-0-14,picked dice checker board began throwing right hand left
doyle-0-15,say gen'elmen deader n mud
doyle-0-15,ca n't make game poker us
doyle-0-16,answer puffed cigarette swung legs drummed table rather dirty fingers
doyle-0-16,pulled roll bills count
doyle-0-17,'s mamma afternoon
doyle-0-17,man
doyle-0-17,n't see lunch
doyle-0-18,state room guess
doyle-0-18,'s 'most always sick ocean
doyle-0-18,'m going give stewardess fifteen dollars looking
doyle-0-18,n't go n avoid
doyle-0-18,makes feel mysterious pass butler 's pantry place
doyle-0-18,say first time 've ocean
doyle-0-19,oh n't apologise harvey
doyle-0-20,'s apologising
doyle-0-20,first time 've crossed ocean gen'elmen except first day n't sick one little bit
doyle-0-20,sir
doyle-0-20,brought fist triumphant bang wetted finger went counting bills
doyle-0-21,oh 're high grade machine writing plain sight philadelphian yawned
doyle-0-21,'ll blossom credit country n't take care
doyle-0-22,know
doyle-0-22,'m american first last time
doyle-0-22,'ll show 'em strike europe
doyle-0-22,pif
doyle-0-22,cig 's
doyle-0-22,ca n't smoke truck steward sells
doyle-0-22,gen'elman got real turkish cig
doyle-0-23,chief engineer entered moment red smiling wet
doyle-0-23,say mac cried harvey cheerfully hitting
doyle-0-24,vara much ordinary way grave reply
doyle-0-24,young polite ever elders elders e'en tryin appreciate
doyle-0-25,low chuckle came corner
doyle-0-25,german opened cigar case handed skinny black cigar harvey
doyle-0-26,dot der broper apparatus smoke young friendt
doyle-0-26,vill dry
doyle-0-26,yes
doyle-0-26,den vill efer happy
doyle-0-27,harvey lit unlovely thing flourish felt getting grown society
doyle-0-28,would take n keel ignorant lighting terrible article wheeling 'stogie
doyle-0-29,dot shall bresently see german
doyle-0-29,mr
doyle-0-29,mactonal
doyle-0-30,thereabouts mr schaefer engineer
doyle-0-30,'ll grand bank night general way speakin 're among fishing fleet
doyle-0-30,'ve shaved three dories near skelped boom frenchman since noon 's close sailin ye may say
doyle-0-31,like cigar eh
doyle-0-31,german asked harvey 's eyes full tears
doyle-0-32,fine full flavour answered shut teeth
doyle-0-32,guess 've slowed little n't
doyle-0-32,'ll skip see log says
doyle-0-33,might vhas german
doyle-0-34,harvey staggered wet decks nearest rail
doyle-0-34,unhappy saw deck steward lashing chairs together since boasted man never seasick pride made go aft second saloon deck stern finished turtle back
doyle-0-34,deck deserted crawled extreme end near flagpole
doyle-0-34,doubled limp agony wheeling stogie joined surge jar screw sieve soul
doyle-0-34,head swelled sparks fire danced eyes body seemed lose weight heels wavered breeze
doyle-0-34,fainting seasickness roll ship tilted rail smooth lip turtle back
doyle-0-34,low grey mother wave swung fog tucked harvey one arm speak pulled away leeward great green closed went quietly sleep
doyle-0-35,roused sound dinner horn used blow summer school attended adirondacks
doyle-0-35,slowly remembered harvey cheyne drowned dead mid ocean weak fit things together
doyle-0-35,new smell filled nostrils wet clammy chills ran back helplessly full salt water
doyle-0-35,opened eyes perceived still top sea running round silver coloured hills lying pile half dead fish looking broad human back clothed blue jersey
